tool_name,arsenal_category,source_markdown_path,source_markdown_url,github_repo_url,project_url,black_hat_session_urls,twitter_handles,youtube_urls,lead_developers
AWSGoat,cloud,cloud/awsgoat.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/cloud/awsgoat.md,https://github.com/ine-labs/AWSGoat,https://ine.com,https://www.blackhat.com/us-22/arsenal/schedule/index.html#awsgoat--a-damn-vulnerable-aws-infrastructure-27999,@ine,,Jeswin Mathai - INE https://github.com/jeswinMathai ; Nishant Sharma - INE https://github.com/nishantsharmax ; Sanjeev Mahunta - INE https://github.com/s-mahunta ; Shantanu Kale - INE https://github.com/SSKale1
AzureGoat,cloud,cloud/azuregoat.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/cloud/azuregoat.md,https://github.com/ine-labs/AzureGoat,https://ine.com,https://www.blackhat.com/us-22/arsenal/schedule/index.html#azuregoat--a-damn-vulnerable-azure-infrastructure-28000,@ine,,Nishant Sharma - INE https://github.com/nishantsharmax ; Jeswin Mathai - INE https://github.com/jeswinMathai ; Sherin Stephen - INE https://github.com/sherinsteph ; Rachna Umaraniya - INE https://github.com/Rachnaumaraniya ; Shantanu Kale - INE https://github.com/SSKale1 ; Sanjeev Mahunta - INE https://github.com/s-mahunta
Prowler,cloud,cloud/prowler.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/cloud/prowler.md,https://github.com/prowler-cloud/prowler,https://prowler.pro,https://www.blackhat.com/us-23/arsenal/schedule/index.html#prowler-open-source-for-multi-cloud-security-assessments-and-pentesting-32103 | https://www.blackhat.com/eu-22/arsenal/schedule/index.html#prowler-v-the-handy-multi-cloud-security-tool-29612,@toniblyx,,Toni de la Fuente - Prowler https://github.com/toniblyx ; Pepe Fagoaga - Prowler https://github.com/jfagoagas ; Nacho Rivera - Prowler https://github.com/n4ch04 ; Sergio Garcia - Prowler https://github.com/sergargar ; Drew Kerrigan - Prowler https://github.com/drewkerrigan ; Jon Young - Prowler https://github.com/thejaywhy
Betterscan,code_assessment,code_assessment/betterscan.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/code_assessment/betterscan.md,https://github.com/marcinguy/betterscan-ce,,,@betterscan,,Marcin Kozlowski (@marcinguy)
OWASP dependency-check,code_assessment,code_assessment/owasp_dependency_check.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/code_assessment/owasp_dependency_check.md,https://github.com/jeremylong/DependencyCheck,,,@ctxt,,Jeremy Long (@ctxt)
Puma Scan,code_assessment,code_assessment/puma_scan.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/code_assessment/puma_scan.md,https://github.com/pumasecurity/puma-scan,https://pumascan.com,,@puma_scan,,Eric Johnson (@emjohn20) - https://pumascan.com/about.html ; Eric Mead (@ericmmead) - https://pumascan.com/about.html ; Aaron Cure (@curea) - https://pumascan.com/about.html
gokey,cryptography,cryptography/gokey.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/cryptography/gokey.md,https://github.com/cloudflare/gokey,https://cloudflare.com,https://www.blackhat.com/eu-18/arsenal/schedule/index.html#gokey-reclaim-back-keys-for-your-kingdom---a-vaultless-password-manager-12821,@ignatkn,,Ignat Korchagin - Cloudflare https://github.com/cloudflare
Hashview,cryptography,cryptography/hashview.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/cryptography/hashview.md,https://github.com/hashview/hashview,https://www.hashview.io,https://www.blackhat.com/us-17/arsenal/schedule/#hashview-8019,@jarsnah12 | @CaseyCammilleri,,Hans lakhan - i128 https://github.com/i128 ; Casey Cammilleri - ccammilleri https://github.com/ccammilleri
Thalos: Simple and Secure approach to file storage in untrusted environments,cryptography,cryptography/thalos.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/cryptography/thalos.md,https://github.com/ecleipteon/Thalos,https://ecleipteon.github.io/Thalos,http://www.toolswatch.org/2017/09/black-hat-arsenal-europe-2017-lineup,@ecleipteon,,Luca Maria Castiglione - MSc student @ UniNa (ecleipteon@thalos.me)
WhatsYourSign,cryptography,cryptography/whatsyoursign.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/cryptography/whatsyoursign.md,https://github.com/objective-see/WhatsYourSign,https://objective-see.com,http://www.toolswatch.org/2017/09/black-hat-arsenal-europe-2017-lineup,@patrickwardle,,Patrick Wardle - Objective-See
AVET,exploitation,exploitation/avet.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/exploitation/avet.md,https://github.com/govolution/avet,https://govolution.wordpress.com,https://www.toolswatch.org/2017/02/the-black-hat-arsenal-asia-2017-great-line-up | http://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced | https://www.toolswatch.org/2018/01/black-hat-arsenal-asia-2018-great-lineup,@DanielX4v3r,,Daniel Sauder - https://github.com/govolution
Commix,exploitation,exploitation/commix.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/exploitation/commix.md,https://github.com/commixproject/commix,http://commixproject.com,https://www.blackhat.com/eu-15/arsenal.html#commix-detecting-and-exploiting-command-injection-flaws,@commixproject,,Anastasios Stasinopoulos
GEF - GDB Enhanced Features,exploitation,exploitation/gef.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/exploitation/gef.md,https://github.com/hugsy/gef,https://gef.readthedocs.org/en/master,http://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced,,https://www.youtube.com/playlist?list=PLjAuO31Rg972WeMvdR_57Qu-aVM8T6DkQ,hugsy ; Along with many contributors: ; GrazFather ; Others
Lazyrecon v2.0,exploitation,exploitation/lazyrecon.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/exploitation/lazyrecon.md,https://github.com/storenth/lazyrecon,,https://www.blackhat.com/us-21/arsenal/schedule/#lazyrecon-v-24051,@storenth,,Kirill Zhdanov - https://github.com/storenth
Leviathan Framework,exploitation,exploitation/leviathan-framework.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/exploitation/leviathan-framework.md,https://github.com/leviathan-framework/leviathan,https://leviathan-framework.org,https://www.blackhat.com/us-17/arsenal/schedule/#mailsniper-7907,,,Utku Sen ; Ozge Barbaros
MailSniper,exploitation,exploitation/mailsniper.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/exploitation/mailsniper.md,https://github.com/dafthack/MailSniper,https://blackhillsinfosec.com,https://www.blackhat.com/us-17/arsenal/schedule/#mailsniper-7907,@dafthack,,Beau Bullock
Rattler,exploitation,exploitation/rattler.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/exploitation/rattler.md,https://github.com/sensepost/rattler,https://sensepost.com,http://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced,@brompwnie,,Chris Le Roy - SensePost https://github.com/sensepost
Windows RID Hijacking Attack,exploitation,exploitation/rid_hijacking.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/exploitation/rid_hijacking.md,https://github.com/r4wd3r/RID-Hijacking,,https://www.toolswatch.org/2018/05/black-hat-arsenal-usa-2018-the-w0w-lineup,@r4wd3r,,Sebastián Castro (@r4wd3r)
inVtero.net,forensics,forensics/inVtero.net.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/forensics/inVtero.net.md,https://github.com/ShaneK2/inVtero.net,,http://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced,@ktwo_K2,,K2 - https://github.com/K2
siembol,forensics,forensics/siembol.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/forensics/siembol.md,https://github.com/G-Research/siembol,https://siembol.io,https://www.blackhat.com/us-21/arsenal/schedule/index.html#siembol-an-open-source-real-time-siem-tool-based-on-big-data-technologies-24038,,,Marian Novotny - https://github.com/mariannovotny
Userline,forensics,forensics/userline.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/forensics/userline.md,https://github.com/thiber-org/userline,http://thiber.org,http://www.toolswatch.org/2017/06/the-black-hat-arsenal-usa-2017-phenomenal-line-up-announced | http://www.toolswatch.org/2018/01/black-hat-arsenal-asia-2018-great-lineup,@sch3m4,,Chema Garcia - https://github.com/sch3m4
coffeeshot,frameworks,frameworks/coffeeshot.md,https://github.com/toolswatch/blackhat-arsenal-tools/blob/master/frameworks/coffeeshot.md,https://github.com/MinervaLabsResearch/CoffeeShot,https://blog.minerva-labs.com/coffeeshot-avoid-detection-with-memory-injection,https://www.toolswatch.org/2018/05/black-hat-arsenal-usa-2018-the-w0w-lineup,@3pun0x,,Asaf Aprozper (@3pun0x)
